,1,2,3,4
A,0,0.353401983,0.434448286,0.520907257
An,712,2041,1759,941
B,0,0.296393009,0.537042603,0.710138647
Bn,74,2358,1892,1129
C,0,0.265911005,0.583725591,0.826025587
Cn,336,936,1407,2774
D,0,0.121382296,0.345748298,0.602592961
Dn,1976,793,592,2092
E,0,0.188141787,0.444103392,0.685365825
En,2574,507,673,1699
F,0,0.423882365,0.82370812,0.938094281
Fn,674,1962,455,2362
G,0,0.428508489,0.8268283,0.938447358
Gn,674,2021,461,2297
H,0,0.151034791,0.371497124,0.729663929
Hn,3949,402,432,670
I,0,0.144629214,0.371539636,0.741076602
In,3924,427,434,668
